,extras,car_id
1132,Post-trip cleaning,1825
1133,Prepaid refuel,275
1134,Pet fee,277
1135,Unlimited mileage,291
1136,Pet fee,2163
1137,One-way trip,2169
1138,One-way trip,2170
1139,Unlimited mileage,1838
1140,Post-trip cleaning,1850
1143,Child safety seat,2185
1144,Prepaid refuel,2189
1145,Post-trip cleaning,1897
1146,Post-trip cleaning,1904
1147,Post-trip cleaning,1913
1148,One-way trip,1920
1149,Unlimited mileage,2205
1150,Air mattress,2207
1151,Phone mount,1943
1152,Prepaid refuel,2212
1153,Post-trip cleaning,1952
1154,Post-trip cleaning,1962
1155,One-way trip,1965
1156,Unlimited mileage,1968
1157,Stroller,1977
1158,One-way trip,1989
1159,Helmet,1991
1160,One-way trip,1998
1163,Child safety seat,2026
1164,Prepaid refuel,2244
1165,Child safety seat,2251
1166,Prepaid refuel,2049
1167,Prepaid refuel,2053
1168,Prepaid refuel,2258
1169,Prepaid refuel,2063
1170,Phone mount,2071
1171,Post-trip cleaning,2083
1172,Tablet,2091
1173,Post-trip cleaning,2094
1174,Beach gear,2096
1175,Post-trip cleaning,2285
1176,Unlimited mileage,2114
1177,Unlimited mileage,2293
1178,Prepaid refuel,2122
1179,Post-trip cleaning,2125
1180,Beach towel,2132
1183,Unlimited mileage,2301
1184,Post-trip cleaning,2158
1185,Prepaid refuel,2073
1186,Post-trip cleaning,2344
1187,Post-trip cleaning,2312
1188,Prepaid refuel,2353
1189,Prepaid refuel,2334
1190,Prepaid refuel,2360
1191,Cooler,2378
1192,Cooler,2381
1193,Prepaid refuel,2375
1230,Post-trip cleaning,852
1231,Phone mount,72
1232,Child safety seat,1094
1233,Post-trip cleaning,1205
1234,Prepaid refuel,1345
1235,Prepaid refuel,477
1236,Portable GPS,1556
1237,Pet fee,1655
1238,Post-trip cleaning,736
1239,Post-trip cleaning,2189
1240,Post-trip cleaning,2244
1241,Prepaid refuel,2160
1242,Post-trip cleaning,858
1243,Post-trip cleaning,83
1244,Prepaid refuel,174
1245,Child safety seat,1218
1246,Post-trip cleaning,365
1247,Portable GPS,1442
1248,Post-trip cleaning,570
1249,Prepaid refuel,1659
1250,Inverter,758
1251,Prepaid refuel,1898
1252,Prepaid refuel,2040
1253,Phone mount,2073
1254,Child safety seat,879
1255,Post-trip cleaning,988
1256,Cooler,1105
1257,Portable WiFi hotspot,1222
1258,Prepaid refuel,367
1259,Unlimited mileage,1446
1260,Child safety seat,565
1261,Portable WiFi hotspot,1664
1262,Unlimited mileage,745
1263,Unlimited mileage,1905
1264,Cooler,2049
1265,Prepaid refuel,2345
1266,Portable GPS,892
1267,Prepaid refuel,94
1268,Prepaid refuel,1119
1269,Unlimited mileage,1237
1270,Prepaid refuel,1359
1271,Generator,1458
1272,Post-trip cleaning,1565
1273,Child safety seat,1678
1274,Post-trip cleaning,1786
1275,Beach gear,1914
1276,Child safety seat,2254
1277,Child safety seat,2318
1278,Post-trip cleaning,882
1279,Child safety seat,1000
1280,Post-trip cleaning,1138
1281,Post-trip cleaning,1259
1282,Portable WiFi hotspot,379
1283,Helmet,493
1284,Pet fee,1574
1285,Prepaid refuel,685
1286,Child safety seat,1789
1287,Unlimited mileage,2198
1288,Post-trip cleaning,2264
1289,Child safety seat,2324
1290,Child safety seat,877
1291,Child safety seat,1012
1292,Prepaid refuel,188
1293,Post-trip cleaning,294
1294,Prepaid refuel,1369
1295,Toys & games,496
1296,Stroller,587
1297,Portable GPS,1687
1298,Post-trip cleaning,1812
1299,Prepaid refuel,1926
1300,Post-trip cleaning,2066
1301,Post-trip cleaning,2336
1302,Child safety seat,889
1303,Child safety seat,109
1304,Child safety seat,194
1305,Prepaid refuel,1251
1306,Cooler,1376
1307,Prepaid refuel,1478
1308,Post-trip cleaning,1580
1309,Prepaid refuel,1695
1310,Prepaid refuel,1799
1311,Post-trip cleaning,1931
1312,Post-trip cleaning,2077
1313,Post-trip cleaning,2341
1314,Post-trip cleaning,910
1315,One-way trip,116
1316,Portable GPS,198
1317,Child safety seat,1256
1318,Prepaid refuel,1394
1319,Beach towel,1484
1320,Child safety seat,1582
1321,Post-trip cleaning,691
1322,Post-trip cleaning,1819
1323,One-way trip,1938
1324,Phone mount,2086
1325,Picnic basket,2365
1326,Post-trip cleaning,918
1327,Post-trip cleaning,127
1328,Portable WiFi hotspot,1148
1329,Cooler,302
1330,Child safety seat,1382
1331,Post-trip cleaning,510
1332,Child safety seat,614
1333,Prepaid refuel,1710
1334,Post-trip cleaning,267
1335,Post-trip cleaning,1950
1336,Unlimited mileage,2279
1337,Prepaid refuel,2385
1338,Portable WiFi hotspot,933
1339,Child safety seat,134
1340,Post-trip cleaning,1157
1341,Child safety seat,321
1342,Post-trip cleaning,413
1343,Child safety seat,1490
1344,Prepaid EV recharge,1595
1345,Prepaid refuel,715
1346,Unlimited mileage,287
1347,Post-trip cleaning,1955
1348,Stroller,2093
1349,Unlimited mileage,2395
1350,Pet fee,940
1351,Prepaid refuel,138
1352,Post-trip cleaning,1172
1353,Post-trip cleaning,324
1354,Prepaid refuel,414
1355,Phone mount,1510
1356,Prepaid refuel,1603
1357,Unlimited mileage,713
1358,Pet fee,258
1359,Prepaid refuel,2226
1360,Post-trip cleaning,2100
1361,Child safety seat,782
1362,Portable GPS,29
1363,Portable WiFi hotspot,1037
1364,Portable GPS,214
1365,Prepaid refuel,329
1366,Phone mount,1406
1367,Beach towel,1494
1368,Child safety seat,628
1369,Post-trip cleaning,723
1370,Unlimited mileage,1828
1371,Unlimited mileage,1972
1372,Post-trip cleaning,2106
1373,Post-trip cleaning,4
1374,Post-trip cleaning,36
1375,Post-trip cleaning,1047
1376,Child safety seat,1177
1377,Child safety seat,1294
1378,Child safety seat,439
1379,Unlimited mileage,1495
1380,Unlimited mileage,637
1381,Portable GPS,1718
1382,Portable GPS,1829
1383,Post-trip cleaning,2232
1384,Post-trip cleaning,2115
1385,Child safety seat,7
1386,Prepaid refuel,48
1387,Child safety seat,1052
1388,Post-trip cleaning,1182
1389,Prepaid refuel,337
1390,Unlimited mileage,1431
1391,Post-trip cleaning,535
1392,Post-trip cleaning,1615
1393,Prepaid refuel,1723
1394,Child safety seat,2170
1395,Post-trip cleaning,1985
1396,Post-trip cleaning,2295
1397,Prepaid refuel,817
1398,Post-trip cleaning,57
1399,Prepaid refuel,1080
1400,Child safety seat,228
1401,Unlimited mileage,348
1402,Child safety seat,444
1403,Prepaid refuel,547
1404,Post-trip cleaning,1618
1405,Post-trip cleaning,1728
1406,Phone mount,2172
1407,Post-trip cleaning,1991
1408,Prepaid refuel,2124
1409,Post-trip cleaning,812
1410,Portable GPS,955
1411,Post-trip cleaning,151
1412,Prepaid refuel,236
1413,Unlimited mileage,1315
1414,Post-trip cleaning,457
1415,Post-trip cleaning,1524
1416,Prepaid refuel,1642
1417,Child safety seat,1756
1418,Unlimited mileage,1858
1419,Post-trip cleaning,2010
1420,Prepaid refuel,2136
1421,Child safety seat,827
1422,Hand truck,975
1423,Portable GPS,159
1424,Portable WiFi hotspot,1193
1425,Prepaid refuel,357
1426,Child safety seat,1437
1427,Bike rack,1552
1428,One-way trip,1649
1429,Prepaid refuel,730
1430,Post-trip cleaning,2184
1431,Prepaid refuel,2026
1432,Portable GPS,2298
1433,Post-trip cleaning,782
1434,Child safety seat,10
1435,Stroller,5
1436,One-way trip,13
1437,Post-trip cleaning,807
1438,Prepaid refuel,810
1439,Unlimited mileage,23
1443,Prepaid refuel,869
1444,Post-trip cleaning,863
1445,Child safety seat,892
1446,Prepaid refuel,876
1447,Post-trip cleaning,885
1448,Prepaid refuel,878
1449,Post-trip cleaning,906
1450,Unlimited mileage,915
1451,Portable GPS,928
1452,Post-trip cleaning,935
1453,Unlimited mileage,40
1454,Prepaid refuel,31
1455,Post-trip cleaning,47
1456,Phone mount,51
1457,Prepaid refuel,947
1458,Post-trip cleaning,959
1459,Prepaid refuel,966
1463,Prepaid refuel,986
1464,Post-trip cleaning,995
1465,Post-trip cleaning,992
1466,Post-trip cleaning,99
1467,Phone mount,1007
1468,Post-trip cleaning,1011
1469,Unlimited mileage,115
1470,Unlimited mileage,117
1471,Post-trip cleaning,130
1472,Prepaid refuel,136
1473,Portable GPS,140
1474,Child safety seat,1031
1475,Unlimited mileage,1049
1476,Prepaid refuel,1053
1477,Post-trip cleaning,1081
1478,Unlimited mileage,1075
1479,Unlimited mileage,153
1483,Unlimited mileage,1115
1484,Unlimited mileage,1116
1485,Prepaid refuel,1108
1486,Post-trip cleaning,1131
1487,Portable GPS,187
1488,Air mattress,192
1489,Portable GPS,1141
1490,Portable GPS,202
1491,Cooler,1169
1492,Picnic basket,1170
1493,Post-trip cleaning,214
1494,Pet fee,217
1495,Prepaid refuel,220
1496,Unlimited mileage,1184
1497,Child safety seat,229
1498,Unlimited mileage,1188
1499,Unlimited mileage,1189
1503,Post-trip cleaning,1227
1504,Stroller,1234
1505,Child safety seat,1235
1506,Child safety seat,1241
1507,Post-trip cleaning,1248
1508,Post-trip cleaning,309
1509,Prepaid refuel,310
1510,Child safety seat,300
1511,Post-trip cleaning,312
1512,Post-trip cleaning,322
1513,Post-trip cleaning,328
1514,Child safety seat,320
1515,Pet fee,1296
1516,Prepaid refuel,339
1517,Prepaid refuel,348
1518,Post-trip cleaning,351
1519,Unlimited mileage,1317
1523,Prepaid refuel,1353
1524,Portable GPS,374
1525,Post-trip cleaning,369
1526,Child safety seat,379
1527,Pet fee,395
1528,Child safety seat,400
1529,Unlimited mileage,1394
1530,Child safety seat,1389
1531,Unlimited mileage,427
1532,Post-trip cleaning,428
1533,Child safety seat,1401
1534,Child safety seat,1406
1535,Post-trip cleaning,1411
1536,Child safety seat,1412
1537,Camping gear,1417
1538,Child safety seat,445
1539,Prepaid refuel,460
1543,Child safety seat,484
1544,Prepaid refuel,487
1545,Child safety seat,1447
1546,One-way trip,493
1547,One-way trip,496
1548,Prepaid refuel,503
1549,One-way trip,1484
1550,Child safety seat,508
1551,Child safety seat,511
1552,Cooler,1506
1553,Post-trip cleaning,536
1554,Unlimited mileage,529
1555,Prepaid refuel,540
1556,Post-trip cleaning,1501
1557,Post-trip cleaning,550
1558,Unlimited mileage,1521
1559,Portable GPS,558
1563,Bike,1559
1564,Post-trip cleaning,565
1565,Child safety seat,1563
1566,Post-trip cleaning,1579
1567,Post-trip cleaning,586
1568,Child safety seat,596
1569,Child safety seat,598
1570,Prepaid refuel,1589
1571,Bike rack,616
1572,Child safety seat,620
1573,Unlimited mileage,625
1574,Post-trip cleaning,1613
1575,Prepaid refuel,632
1576,Post-trip cleaning,642
1577,Post-trip cleaning,1619
1578,Post-trip cleaning,1641
1579,Post-trip cleaning,1643
1583,Child safety seat,665
1584,Prepaid refuel,1664
1585,Post-trip cleaning,1669
1586,Child safety seat,673
1587,Unlimited mileage,678
1588,Post-trip cleaning,690
1589,Child safety seat,1697
1590,Prepaid refuel,1709
1591,Unlimited mileage,698
1592,Cooler,700
1593,Post-trip cleaning,706
1594,Post-trip cleaning,1711
1595,Child safety seat,1721
1596,Post-trip cleaning,1724
1597,Post-trip cleaning,1747
1598,Post-trip cleaning,1753
1599,Post-trip cleaning,1758
1603,Prepaid refuel,753
1604,Post-trip cleaning,762
1605,Post-trip cleaning,1785
1606,Post-trip cleaning,1808
1607,Prepaid refuel,1790
1608,Post-trip cleaning,1792
1609,Child safety seat,1806
1610,Prepaid refuel,1825
1611,Unlimited mileage,256
1612,Child safety seat,257
1613,One-way trip,262
1614,Prepaid refuel,1828
1615,Post-trip cleaning,1830
1616,Phone mount,2170
1617,Post-trip cleaning,1838
1618,Air mattress,1850
1619,Post-trip cleaning,1859
1623,Post-trip cleaning,1898
1624,Portable WiFi hotspot,1904
1625,Prepaid refuel,1914
1626,Child safety seat,2198
1627,Post-trip cleaning,2205
1628,Post-trip cleaning,1930
1629,Unlimited mileage,1937
1630,Post-trip cleaning,2212
1631,Unlimited mileage,2219
1632,Post-trip cleaning,2221
1633,Portable GPS,1965
1634,Unlimited mileage,2229
1635,Post-trip cleaning,1979
1636,Post-trip cleaning,1987
1637,Unlimited mileage,2238
1638,Post-trip cleaning,2003
1639,Child safety seat,2016
1643,Post-trip cleaning,2039
1644,Child safety seat,2049
1645,Post-trip cleaning,2253
1646,Stroller,2263
1647,Cooler,2059
1648,Prepaid refuel,2076
1649,Post-trip cleaning,2084
1650,Stroller,2091
1651,Prepaid refuel,2093
1652,Air mattress,2282
1653,Prepaid refuel,2104
1654,Post-trip cleaning,2112
1655,Post-trip cleaning,2287
1656,Unlimited mileage,2122
1657,Post-trip cleaning,2128
1658,Prepaid refuel,2137
1659,Prepaid refuel,2143
1663,Post-trip cleaning,2266
1664,One-way trip,2344
1665,Prepaid refuel,2314
1666,Post-trip cleaning,2353
1667,Post-trip cleaning,2334
1668,Post-trip cleaning,2360
1669,Post-trip cleaning,2378
1670,Hammock,2381
1671,Snowboard,2375
1720,Post-trip cleaning,890
1721,Child safety seat,995
1722,Prepaid refuel,179
1723,Phone mount,1210
1724,Post-trip cleaning,367
1725,Post-trip cleaning,1451
1726,Prepaid refuel,579
1727,Post-trip cleaning,1670
1728,Portable GPS,772
1729,One-way trip,1904
1730,Post-trip cleaning,2252
1731,Prepaid refuel,2307
1732,Post-trip cleaning,866
1733,Skis,992
1734,Post-trip cleaning,1119
1735,Unlimited mileage,1212
1736,Child safety seat,369
1737,Prepaid refuel,1461
1738,Pet fee,1565
1739,Post-trip cleaning,1678
1740,Unlimited mileage,1786
1741,Post-trip cleaning,1914
1742,Post-trip cleaning,2254
1743,Unlimited mileage,2316
1744,Child safety seat,876
1745,Unlimited mileage,100
1746,Post-trip cleaning,1133
1747,Post-trip cleaning,292
1748,Portable GPS,379
1749,Unlimited mileage,1466
1750,Unlimited mileage,1574
1751,Unlimited mileage,674
1752,Portable WiFi hotspot,1794
1753,Prepaid refuel,2203
1754,Unlimited mileage,2260
1755,Unlimited mileage,2353
1756,Post-trip cleaning,899
1757,Child safety seat,1007
1758,Post-trip cleaning,185
1759,Child safety seat,1261
1760,Post-trip cleaning,1369
1761,Prepaid refuel,496
1762,Portable GPS,586
1763,Child safety seat,686
1764,Child safety seat,1790
1765,Post-trip cleaning,1924
1766,Unlimited mileage,2066
1767,Unlimited mileage,2334
1768,Child safety seat,878
1769,Inverter,1011
1770,Post-trip cleaning,194
1771,One-way trip,297
1772,Prepaid refuel,1384
1773,Child safety seat,1478
1774,Prepaid refuel,597
1775,Child safety seat,1699
1776,Child safety seat,1813
1777,Camp chair,2207
1778,Phone mount,2076
1779,Prepaid refuel,2341
1780,Child safety seat,922
1781,Post-trip cleaning,124
1782,Prepaid refuel,1144
1783,Prepaid refuel,1268
1784,Portable GPS,1376
1785,Child safety seat,505
1786,Post-trip cleaning,603
1787,Unlimited mileage,1703
1788,Prepaid refuel,1818
1789,Prepaid refuel,1938
1790,Post-trip cleaning,2086
1791,Beach towel,2365
1792,Prepaid refuel,917
1793,Post-trip cleaning,120
1794,Prepaid refuel,1161
1795,Stroller,1269
1796,Post-trip cleaning,1390
1797,Prepaid refuel,516
1798,Phone mount,614
1799,Child safety seat,1706
1800,Unlimited mileage,275
1801,Stroller,2214
1802,Phone mount,2278
1803,Unlimited mileage,2384
1804,Cooler,933
1805,Unlimited mileage,1023
1806,Unlimited mileage,1157
1807,Prepaid refuel,1278
1808,Post-trip cleaning,418
1809,Post-trip cleaning,521
1810,Post-trip cleaning,618
1811,One-way trip,699
1812,Post-trip cleaning,268
1813,Prepaid refuel,1955
1814,Post-trip cleaning,2281
1815,Post-trip cleaning,2395
1816,Child safety seat,26
1817,Child safety seat,138
1818,Picnic basket,1171
1819,Child safety seat,314
1820,Prepaid refuel,1400
1821,Post-trip cleaning,1510
1822,Post-trip cleaning,1606
1823,Prepaid refuel,701
1824,Post-trip cleaning,290
1825,Prepaid refuel,1965
1826,Beach towel,2282
1827,Portable GPS,1
1828,Post-trip cleaning,942
1829,One-way trip,1028
1830,Child safety seat,214
1831,Portable GPS,316
1832,Post-trip cleaning,432
1833,Post-trip cleaning,528
1834,Child safety seat,1608
1835,Child safety seat,722
1836,Prepaid refuel,2163
1837,Post-trip cleaning,1971
1838,Post-trip cleaning,2109
1839,Unlimited mileage,784
1840,Prepaid refuel,44
1841,Child safety seat,1034
1842,Unlimited mileage,218
1843,Stroller,1294
1844,Prepaid refuel,439
1845,Post-trip cleaning,530
1846,Post-trip cleaning,631
1847,Child safety seat,1718
1848,Unlimited mileage,2168
1849,Prepaid refuel,2231
1850,Unlimited mileage,2115
1851,Portable GPS,6
1852,Post-trip cleaning,48
1853,Post-trip cleaning,1057
1854,Prepaid refuel,224
1855,Unlimited mileage,345
1856,One-way trip,1420
1857,Prepaid refuel,542
1858,Unlimited mileage,641
1859,Unlimited mileage,1723
1860,Post-trip cleaning,1835
1861,Prepaid refuel,1985
1862,One-way trip,2294
1863,Post-trip cleaning,14
1864,Post-trip cleaning,946
1865,Beach gear,1080
1866,Prepaid refuel,1187
1867,Pet fee,1298
1868,Post-trip cleaning,1415
1869,Unlimited mileage,1504
1870,Child safety seat,1633
1871,Portable WiFi hotspot,1739
1872,Post-trip cleaning,2176
1873,Cooler,1991
1874,Phone mount,2123
1875,Post-trip cleaning,820
1876,Prepaid refuel,65
1877,Unlimited mileage,148
1878,Post-trip cleaning,233
1879,Post-trip cleaning,350
1880,Post-trip cleaning,1427
1881,Prepaid refuel,553
1882,Post-trip cleaning,1638
1883,Unlimited mileage,1752
1884,Prepaid refuel,1843
1885,Unlimited mileage,1997
1886,Post-trip cleaning,2132
1887,Prepaid refuel,24
1888,Portable GPS,969
1889,One-way trip,158
1890,Prepaid EV recharge,1203
1891,Post-trip cleaning,1322
1892,Unlimited mileage,471
1893,Post-trip cleaning,1531
1894,Post-trip cleaning,648
1895,Unlimited mileage,1775
1896,Prepaid refuel,2182
1897,Post-trip cleaning,2028
1898,Post-trip cleaning,2146
1899,Portable GPS,851
1900,Post-trip cleaning,72
1901,Post-trip cleaning,1094
1902,Post-trip cleaning,245
1903,Unlimited mileage,1344
1904,Post-trip cleaning,477
1905,Prepaid refuel,1549
1906,Unlimited mileage,1655
1907,Unlimited mileage,735
1908,Prepaid refuel,2188
1909,Child safety seat,2034
1910,Phone mount,2157
1911,Prepaid refuel,791
1912,Post-trip cleaning,794
1913,Unlimited mileage,799
1914,Prepaid refuel,816
1915,Child safety seat,818
1916,Post-trip cleaning,16
1917,Child safety seat,17
1918,Post-trip cleaning,824
1923,Post-trip cleaning,875
1924,Unlimited mileage,882
1925,Unlimited mileage,899
1926,Unlimited mileage,889
1927,Prepaid refuel,906
1928,Prepaid refuel,926
1929,Unlimited mileage,929
1930,Portable GPS,935
1931,Unlimited mileage,941
1932,Post-trip cleaning,43
1933,Child safety seat,37
1934,Unlimited mileage,51
1935,Post-trip cleaning,59
1936,Unlimited mileage,951
1937,Camping gear,956
1938,Prepaid refuel,971
1943,Child safety seat,94
1944,Skateboard,1000
1945,Unlimited mileage,1007
1946,Prepaid EV recharge,109
1947,Unlimited mileage,123
1948,Child safety seat,125
1949,Post-trip cleaning,133
1950,Portable GPS,136
1951,Post-trip cleaning,142
1952,Post-trip cleaning,1039
1953,Post-trip cleaning,1044
1954,Prepaid refuel,1058
1955,Post-trip cleaning,1068
1956,Child safety seat,148
1957,Post-trip cleaning,153
1958,Post-trip cleaning,159
1963,Portable GPS,1117
1964,Prepaid refuel,1136
1965,Prepaid refuel,1140
1966,Prepaid refuel,192
1967,Stroller,198
1968,Prepaid refuel,203
1969,Prepaid refuel,1165
1970,Portable GPS,209
1971,Unlimited mileage,1173
1972,Post-trip cleaning,1176
1973,Child safety seat,220
1974,Child safety seat,225
1975,Prepaid refuel,229
1976,One-way trip,1197
1977,Air mattress,1202
1978,Child safety seat,239
1983,Prepaid refuel,1230
1984,Prepaid refuel,1241
1985,Post-trip cleaning,1261
1986,Prepaid refuel,296
1987,Post-trip cleaning,1268
1988,Prepaid refuel,1257
1989,Portable WiFi hotspot,1275
1990,Post-trip cleaning,314
1991,Prepaid refuel,328
1992,Bike rack,1291
1993,Prepaid refuel,335
1994,Post-trip cleaning,346
1995,Prepaid refuel,1300
1996,Prepaid refuel,1305
1997,Unlimited mileage,1327
1998,Post-trip cleaning,1324
2003,Child safety seat,377
2004,Post-trip cleaning,373
2005,Post-trip cleaning,395
2006,Cooler,1384
2007,Post-trip cleaning,1388
2008,Unlimited mileage,406
2009,Post-trip cleaning,427
2010,Post-trip cleaning,1399
2011,Prepaid refuel,430
2012,Post-trip cleaning,433
2013,Unlimited mileage,442
2014,Hand truck,1421
2015,Prepaid refuel,1422
2016,Portable GPS,445
2017,Prepaid refuel,470
2018,Portable GPS,1435
2023,Prepaid refuel,1457
2024,Unlimited mileage,493
2025,Post-trip cleaning,1470
2026,Prepaid refuel,1472
2027,Unlimited mileage,505
2028,Post-trip cleaning,1487
2029,Child safety seat,1489
2030,Child safety seat,1506
2031,Child safety seat,1492
2032,Tablet,1494
2033,Prepaid refuel,531
2034,Prepaid refuel,1501
2035,Child safety seat,550
2036,Post-trip cleaning,1512
2037,Prepaid EV recharge,1517
2038,Phone mount,1534
2043,Prepaid refuel,1563
2044,Cooler,1567
2045,Cooler,586
2046,Portable GPS,609
2047,Child safety seat,1581
2048,Post-trip cleaning,608
2049,Unlimited mileage,1594
2050,Post-trip cleaning,1600
2051,Child safety seat,1606
2052,Cooler,1613
2053,Post-trip cleaning,639
2054,Child safety seat,635
2055,Portable speaker,1635
2056,Pet fee,1621
2057,Prepaid refuel,1643
2058,Unlimited mileage,1647
2063,Child safety seat,1669
2064,Post-trip cleaning,685
2065,Prepaid refuel,686
2066,Prepaid refuel,1693
2067,Cooler,1701
2068,Child safety seat,1705
2069,Prepaid refuel,698
2070,Phone mount,717
2071,Unlimited mileage,720
2072,Prepaid refuel,1711
2073,Pet fee,1734
2074,Cooler,1724
2075,Prepaid refuel,1740
2076,Phone mount,1753
2077,Post-trip cleaning,1763
2078,Prepaid refuel,1776
2083,Prepaid refuel,1785
2084,Post-trip cleaning,1789
2085,Prepaid refuel,1810
2086,Portable GPS,1812
2087,Prepaid refuel,1806
2088,Unlimited mileage,1825
2089,Portable GPS,267
2090,Unlimited mileage,282
2091,Prepaid refuel,291
2092,Unlimited mileage,2165
2093,Pet fee,1830
2094,Post-trip cleaning,2174
2095,Prepaid refuel,1838
2096,Beach gear,1850
2097,Unlimited mileage,1860
2098,Child safety seat,1868
2103,Unlimited mileage,1914
2104,Post-trip cleaning,2203
2105,Post-trip cleaning,1923
2106,Child safety seat,1930
2107,Post-trip cleaning,1943
2108,Prepaid refuel,2214
2109,Beach gear,1952
2110,Post-trip cleaning,2222
2111,Prepaid refuel,1966
2112,Prepaid refuel,1968
2113,Post-trip cleaning,1981
2114,Prepaid refuel,1988
2115,Beach towel,1991
2116,Prepaid refuel,2000
2117,Prepaid refuel,2013
2118,Post-trip cleaning,2020
2123,Prepaid refuel,2253
2124,Post-trip cleaning,2258
2125,Phone mount,2059
2126,Child safety seat,2076
2127,Stroller,2078
2128,Post-trip cleaning,2275
2129,Post-trip cleaning,2284
2130,Camp chair,2096
2131,Post-trip cleaning,2104
2132,Post-trip cleaning,2114
2133,Prepaid refuel,2296
2134,Post-trip cleaning,2122
2135,Unlimited mileage,2129
2136,Post-trip cleaning,2133
2137,Unlimited mileage,2141
2138,Prepaid refuel,2149
2143,Prepaid refuel,2316
2144,Portable GPS,2353
2145,Post-trip cleaning,2333
2146,Portable GPS,2360
2147,Phone mount,2365
2148,Post-trip cleaning,2381
2149,Cooler,2375
2210,Post-trip cleaning,896
2211,Child safety seat,99
2212,Portable GPS,1131
2213,Post-trip cleaning,1245
2214,Prepaid refuel,373
2215,Stroller,493
2216,Unlimited mileage,1579
2217,Portable GPS,673
2218,Bike,1809
2219,Cooler,2198
2220,Post-trip cleaning,2263
2221,Child safety seat,2353
2222,Prepaid refuel,885
2223,Post-trip cleaning,1012
2224,Post-trip cleaning,188
2225,Cooler,1248
2226,Child safety seat,1367
2227,Child safety seat,496
2228,Child safety seat,586
2229,Prepaid refuel,678
2230,Pet fee,1798
2231,Prepaid refuel,1924
2232,Post-trip cleaning,2063
2233,Child safety seat,2334
2234,Luggage rack,889
2235,Post-trip cleaning,109
2236,Prepaid refuel,193
2237,Post-trip cleaning,1265
2238,Child safety seat,403
2239,Portable GPS,1478
2240,Prepaid refuel,611
2241,Post-trip cleaning,1695
2242,Post-trip cleaning,1813
2243,Stroller,1929
2244,Portable GPS,2076
2245,Child safety seat,2362
2246,Child safety seat,909
2247,Post-trip cleaning,116
2248,Child safety seat,198
2249,Cooler,311
2250,Child safety seat,1388
2251,Air mattress,1484
2252,Post-trip cleaning,1582
2253,Child safety seat,1701
2254,Post-trip cleaning,1818
2255,Post-trip cleaning,1937
2256,Prepaid refuel,2081
2257,Pet fee,2365
2258,Post-trip cleaning,917
2259,Child safety seat,126
2260,Portable GPS,1148
2261,Phone mount,311
2262,Prepaid refuel,406
2263,Post-trip cleaning,515
2264,Portable GPS,608
2265,Portable GPS,1709
2266,Prepaid refuel,254
2267,Portable GPS,2214
2268,Portable GPS,2278
2269,Post-trip cleaning,2384
2270,Camera,933
2271,Post-trip cleaning,134
2272,Portable GPS,1165
2273,Post-trip cleaning,321
2274,One-way trip,427
2275,Post-trip cleaning,1490
2276,Portable speaker,1595
2277,Prepaid refuel,710
2278,Post-trip cleaning,276
2279,Unlimited mileage,1955
2280,Portable GPS,2093
2281,Child safety seat,2394
2282,Phone mount,940
2283,Cooler,138
2284,Prepaid refuel,210
2285,Post-trip cleaning,1285
2286,Post-trip cleaning,429
2287,Post-trip cleaning,1492
2288,Post-trip cleaning,1603
2289,Snowboard,717
2290,Portable GPS,289
2291,Post-trip cleaning,1964
2292,Pet fee,2097
2293,Portable GPS,791
2294,Child safety seat,29
2295,Post-trip cleaning,1037
2296,Phone mount,1174
2297,Cooler,1291
2298,One-way trip,1406
2299,Child safety seat,537
2300,Post-trip cleaning,628
2301,Portable GPS,706
2302,Post-trip cleaning,2164
2303,Prepaid refuel,1971
2304,Prepaid refuel,2107
2305,Post-trip cleaning,11
2306,Post-trip cleaning,35
2307,Post-trip cleaning,1042
2308,Stroller,1177
2309,Phone mount,1294
2310,Post-trip cleaning,1408
2311,Portable GPS,539
2312,Portable GPS,636
2313,Post-trip cleaning,1732
2314,One-way trip,1829
2315,Post-trip cleaning,2231
2316,Child safety seat,2115
2317,Child safety seat,6
2318,Child safety seat,38
2319,One-way trip,1045
2320,Child safety seat,221
2321,Post-trip cleaning,337
2322,Unlimited mileage,1412
2323,Post-trip cleaning,534
2324,One-way trip,635
2325,Unlimited mileage,1737
2326,Prepaid refuel,2170
2327,Unlimited mileage,1985
2328,Prepaid refuel,2294
2329,Child safety seat,806
2330,Prepaid refuel,56
2331,Post-trip cleaning,1064
2332,Unlimited mileage,228
2333,Post-trip cleaning,343
2334,Bike rack,1421
2335,Post-trip cleaning,547
2336,Post-trip cleaning,645
2337,Prepaid refuel,1727
2338,Portable GPS,2172
2339,Bike rack,1991
2340,Portable GPS,2123
2341,Portable GPS,14
2342,Child safety seat,65
2343,Prepaid refuel,1073
2344,Child safety seat,1196
2345,Portable GPS,1302
2346,Prepaid refuel,1418
2347,Post-trip cleaning,1520
2348,Unlimited mileage,1637
2349,Prepaid refuel,1744
2350,Post-trip cleaning,1842
2351,Post-trip cleaning,1996
2352,Cooler,2132
2353,Post-trip cleaning,821
2354,Pet fee,953
2355,Camping gear,150
2356,Prepaid refuel,1199
2357,Prepaid refuel,1313
2358,Pet fee,457
2359,Prepaid refuel,558
2360,Portable speaker,1626
2361,Post-trip cleaning,1762
2362,Post-trip cleaning,1857
2363,Post-trip cleaning,2017
2364,Air mattress,2140
